Done,Topic,Question Name,Difficulty,Level,Source,LeetCode Link,Notes
FALSE,Arrays,Intersection of Two Arrays,Easy,Basic,NeetCode,https://leetcode.com/problems/intersection-of-two-arrays/,
FALSE,Arrays,Contains Duplicate,Easy,Basic,NeetCode,https://leetcode.com/problems/contains-duplicate/,HashSet usage
FALSE,Arrays,Is Subsequence,Easy,Basic,NeetCode,https://leetcode.com/problems/is-subsequence/,
FALSE,Arrays,3Sum,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/3sum/,Sort + Two Pointer
FALSE,Arrays,4Sum,Medium,Core,Striver,https://leetcode.com/problems/4sum/,Generalized k-sum
FALSE,Arrays,Product of Array Except Self,Medium,Core,NeetCode,https://leetcode.com/problems/product-of-array-except-self/,Prefix and Suffix products
FALSE,Arrays,Maximum Subarray,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/maximum-subarray/,Kadane's Algorithm
FALSE,Arrays,Maximum Product Subarray,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/maximum-product-subarray/,Kadane's variation
FALSE,Arrays,Longest Consecutive Sequence,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/longest-consecutive-sequence/,HashSet lookups
FALSE,Arrays,Container With Most Water,Medium,Core,NeetCode,https://leetcode.com/problems/container-with-most-water/,Greedy Two Pointer
FALSE,Arrays,Rotate Array,Medium,Core,NeetCode,https://leetcode.com/problems/rotate-array/,Reverse method trick
FALSE,Arrays,Set Matrix Zeroes,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/set-matrix-zeroes/,2D Array mapping
FALSE,Arrays,Spiral Matrix,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/spiral-matrix/,Simulation
FALSE,Arrays,Rotate Image,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/rotate-image/,Transpose + Reverse
FALSE,Arrays,Next Permutation,Medium,Advanced,Striver,https://leetcode.com/problems/next-permutation/,Lexicographical order logic
FALSE,Arrays,Subarray Sum Equals K,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/subarray-sum-equals-k/,Prefix Sum + HashMap
FALSE,Arrays,Sort Colors,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/sort-colors/,Dutch National Flag Algo
FALSE,Arrays,Find the Duplicate Number,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/find-the-duplicate-number/,Cycle Detection (Tortoise Hare)
FALSE,Arrays,Merge Intervals,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/merge-intervals/,Sorting + Merging
FALSE,Arrays,Insert Interval,Medium,Core,NeetCode,https://leetcode.com/problems/insert-interval/,
FALSE,Arrays,Non-overlapping Intervals,Medium,Core,NeetCode,https://leetcode.com/problems/non-overlapping-intervals/,Greedy sorting by end time
FALSE,Arrays,Trapping Rain Water,Hard,Advanced,NeetCode + Striver,https://leetcode.com/problems/trapping-rain-water/,Pre-max arrays or Two Pointer
FALSE,Arrays,Longest Subarray with 0 Sum,Medium,Core,Striver,https://www.geeksforgeeks.org/find-the-largest-subarray-with-0-sum/,Prefix Sum + HashMap (GFG)
FALSE,Arrays,Subarray with Given XOR,Medium,Core,Striver,https://www.interviewbit.com/problems/subarray-with-given-xor/,XOR Property (InterviewBit)
FALSE,Arrays,Count Inversions,Hard,Advanced,Striver,https://www.geeksforgeeks.org/inversion-count-in-array-using-merge-sort/,Merge Sort Modification (GFG)
FALSE,Arrays,Reverse Pairs,Hard,Advanced,Striver,https://leetcode.com/problems/reverse-pairs/,Merge Sort Modification
